gene	definition	group	log2foldchange	p.value	p.adjust
K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	response	0.4650662	0.1113469	0.587808
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	response	0.0800552	0.5402914	0.8934715
K00003	hom; homoserine dehydrogenase [EC:1.1.1.3]	response	0.5156644	0.01204828	0.4327822
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	response	0.4536769	0.3167331	0.7556019
K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]	response	0.09162073	0.8064959	0.956964
K00007	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	response	0.2108936	0.6549403	0.9260799
K00008	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	response	0.2269999	0.4624327	0.8612324
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	response	0.3134824	0.8542396	0.9684812
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	response	0.412474	0.2703441	0.7221891
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	response	0.3821681	0.1589959	0.6471459
K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]	response	0.3635715	0.03208873	0.4596789
K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]	response	0.2664809	0.09824835	0.5651674
K00015	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]	response	0.2035168	0.8542396	0.9684812
K00016	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	response	0.4468788	0.2978602	0.7439571
K00018	hprA; glycerate dehydrogenase [EC:1.1.1.29]	response	0.3278423	0.2206714	0.686963
K00019	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	response	0.2905532	0.1399101	0.6471459
K00020	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	progression	0.1771313	1	1
K00021	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	response	0.7440475	0.3143013	0.7519279
K00024	mdh; malate dehydrogenase [EC:1.1.1.37]	response	0.356507	0.09824835	0.5651674
K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	response	0.2989221	0.4624327	0.8612324
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	response	0.3512201	0.1416447	0.6471459
K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	progression	0.2203822	0.1589959	0.6471459
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	response	0.2247342	0.1257864	0.6196924
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	response	0.2442832	0.1779096	0.6595618
K00034	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]	progression	0.2017372	0.3656706	0.8046935
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	response	0.2778689	0.1589959	0.6471459
K00039	rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]	response	0.01881848	0.6549403	0.9260799
K00040	uxuB; fructuronate reductase [EC:1.1.1.57]	response	0.1513778	0.7594629	0.9522438
K00041	uxaB; tagaturonate reductase [EC:1.1.1.58]	response	0.3462593	0.1984493	0.6657432
K00042	garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	progression	0.09461431	0.4259831	0.853702
K00045	E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]	progression	0.2198329	0.4224307	0.853702
K00046	idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]	response	0.3109971	0.09824835	0.5651674
K00048	fucO; lactaldehyde reductase [EC:1.1.1.77]	response	0.239399	0.1984493	0.6657432
K00050	ttuD; hydroxypyruvate reductase [EC:1.1.1.81]	response	0.4175682	0.4795001	0.8612324
K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	response	0.2209719	0.2206714	0.686963
K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	response	0.2626416	0.09824835	0.5651674
K00054	mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	response	0.5655195	0.2396544	0.6947875
K00055	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]	response	0.478722	0.5044768	0.8671379
K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	response	0.2982354	0.04329747	0.4741032
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	response	0.4106087	0.01996445	0.4327822
K00059	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	response	0.4598253	0.007050729	0.4327822
