taxon	P7	P8	P10	P14	P23	P25	P34	P35	P52	P55	P59	P61	P63	P67	P68	P69	P24	P28	P30	P32	P46	P53	P54	P66
Acaryochloris	1.87695265636986	-0.242826143620243	0.0575880669667955	-0.353536858881553	-0.365333751272255	-0.184887815207764	-0.586978866724497	0.57342301289647	-0.537118230914799	-0.267948070166233	3.31796122362669	0.933310714234952	-0.73231795675723	-0.73231795675723	-0.317572050036862	-0.109569489405591	-0.522717211222351	-0.73231795675723	-0.73231795675723	-0.258733121570172	-0.520639479981097	1.61425592468593	-0.73231795675723	-0.444040725991136
Acetoanaerobium	-1.01932151248761	0.772647133975376	0.257527400745314	-0.813632590322477	-0.856530223986901	-1.16285788722029	-0.58037886604058	0.277340120333791	-0.825323425684084	1.98527830057327	-0.278467183863789	0.523484838695137	-1.0824057293633	0.930780714382291	-0.31974439561828	-0.0942635241771142	2.42522392725246	1.48868288930663	-1.13332946921203	-0.339282739269081	-0.688544311127946	-0.5511579400978	0.268489833920492	0.815784639286516
Acetobacter	1.71710714172192	0.111750410195344	0.28846692606906	-1.42120205084774	-0.529684729079414	-0.752709617955162	1.91392323492639	-0.572418464151475	-0.614909290269709	0.7902084733187	0.751016022790958	-0.369233966338189	-0.0359996667301113	-0.521268136948464	-1.1106090511403	-0.761341481312726	-0.528904416624718	-0.221748393445969	0.629876341422231	-0.797040144756794	2.77470185841295	-0.413070266125514	-0.275593977032013	-0.0513167560992484
Acetobacterium	-0.516550496967285	0.0563175075777746	2.72731288169845	-0.307194027638302	1.27716539727112	-1.00874056826246	-0.92117271404947	0.305273623742426	-1.23409745519898	-0.0690581865685037	-0.508957323912193	0.455007777764611	-0.386987641051868	-0.510003019200573	-0.179879028835774	-0.93508915947333	0.568555248085056	1.87763556200379	-1.31372604152529	0.355886296968827	1.22458703788175	-1.04164066794612	-0.0161492358088399	0.10150423344518
Acetohalobium	-1.11866293755208	-0.784669668782458	-0.503247239593771	-0.943344434574734	-0.562581240168013	-1.20620670023322	0.153397593321499	0.146916796209268	-0.968959685960898	2.11153916262023	-0.563524799124065	1.10711151621708	-0.396091644159309	0.814017739992059	-0.566207073060635	0.161550990763332	1.35409502013895	1.5477116389015	-0.74197116394229	0.0252464913142627	0.77964126165532	-1.01751149881947	1.80169381536864	-0.629943940531203
Acetomicrobium	-0.451197289602921	-0.574455280693921	0.273386636448274	-0.574455280693921	0.740315159588818	0.0183292604915537	-0.354479995239519	-0.574455280693921	-0.574455280693921	-0.50059705909559	3.73766214459919	-0.211548306724603	-0.331382280803591	-0.574455280693921	2.05215841525457	-0.374734667848571	-0.513773684506521	-0.104996837480226	-0.361100366137444	0.0421507354669484	-0.574455280693921	-0.425689776221201	0.710132899541229	-0.497903303566874
Acholeplasma	-0.68548595939522	2.86789045622208	1.90568599211517	-0.150116577813851	0.72874950731802	-0.30514999687897	-0.605223902647692	0.451765528259044	-0.239166083869299	-0.175692345330494	-1.0350031385423	1.02877869848088	-0.795959911475021	-0.741405802582982	0.436798015488124	-0.483715507389408	0.210258197553481	-0.328698153628779	-0.771465209465549	-0.856548418967073	1.52691035844897	-0.998234887649365	-0.902832153347969	-0.0821387049017962
Achromobacter	-0.824295626679037	0.0267602881575592	0.389828696952555	-0.670642971877011	2.29693097431988	-0.219989787246763	-0.693537748687094	0.687176757514303	-1.06812362217556	0.559637114601269	-0.736814049645381	0.400474700953688	0.724672625843817	0.124549555189119	-0.824865633313923	-0.112189077987473	1.54245182284602	-0.0842254099512599	-1.14560097226629	2.07372581653125	-1.36941759157334	0.711478397499285	-0.706046559659306	-1.0819376993463
Acidaminococcus	2.56466221513782	-0.129596737722944	-1.84748656546906	-0.735571662607211	0.228135853160064	-0.0628363633384027	-0.370982641122177	0.230679909292551	-1.00288556010786	1.34833271971383	1.31227185258189	0.326991381607927	-0.774771172902137	0.787654274306082	-0.886765257566497	-0.936279858426688	1.45983163855691	0.445786440612041	-0.495221672178452	-0.00757678854404559	-1.35296400450811	-0.357889585628464	-0.0971222591541986	0.353603844307114
Acidianus	1.56776561799413	1.93184440413983	0.999951310206216	-0.802018339988985	-0.802018339988985	-0.114029422239322	0.181734368600994	0.0545987774859406	0.0197096556068471	-0.802018339988985	-0.672201917059029	-0.802018339988985	0.429971977208903	-0.802018339988985	-0.802018339988985	0.170819702224531	0.258866985796253	-0.524293958603672	0.14630616899072	-0.802018339988985	-0.802018339988985	-0.215500334173053	-0.802018339988985	2.98262172372157
Acidihalobacter	2.04747712429723	0.542895207346393	-0.799564053354237	-0.437914787613314	-0.799564053354237	1.0034569228095	0.0463533493302596	0.146306622534762	-0.799564053354237	-0.799564053354237	0.237859400005039	-0.799564053354237	0.443364544637635	3.0733473968466	0.890242199432895	-0.799564053354237	-0.421685583519223	-0.045445789383694	-0.799564053354237	-0.799564053354237	-0.799564053354237	-0.00680001550027028	-0.799564053354237	0.47618394231855
Acidilobus	-0.294336742597635	-0.294336742597635	-0.294336742597635	-0.294336742597635	-0.294336742597635	-0.294336742597635	-0.294336742597635	-0.294336742597635	2.9841367843823	3.49127155276566	-0.294336742597635	-0.294336742597635	-0.294336742597635	-0.294336742597635	-0.294336742597635	-0.294336742597635	-0.294336742597635	-0.294336742597635	-0.294336742597635	-0.294336742597635	-0.294336742597635	-0.294336742597635	-0.294336742597635	-0.294336742597635
