contig	start	end	strand	gene	readCount	RPKM	meanDepth	meanDepth/contig	meanDepth/genome	taxon	reference
NODE_1000_length_9933_cov_2.981879	1600	1791	-	K02385	21	6.72037560125472	8.86458333333333	1.2523026830413	0.0789335854851599		
NODE_1001_length_9933_cov_2.537659	556	1146	-	K01358	49	5.09429487201712	9.06937394247039	1.25441887308443	0.0807571181256726	1759399	cid|1759399
NODE_1001_length_9933_cov_2.537659	1309	1965	-	K00761	49	4.58253922277339	7.59512937595129	1.05051061883066	0.0676298897899883	1759399	cid|1759399
NODE_1001_length_9933_cov_2.537659	2039	4699	-	K01531	138	3.18646895958994	7.49267192784667	1.03633934775884	0.0667175701203038	1759399	cid|1759399
NODE_1001_length_9933_cov_2.537659	5079	6248	-	K14155	48	2.52075626948163	6.4042735042735	0.885798909948461	0.0570260610241035	1759399	cid|1759399
NODE_1001_length_9933_cov_2.537659	6258	7352	-	K01739	45	2.52507263295677	6.10502283105023	0.844408435296553	0.0543614204303894	1759399	cid|1759399
NODE_1003_length_9924_cov_3.582531	307	1473	+	K01736	133	7.00255075503491	16.636675235647	1.34693875667798	0.148139216195736	1302	cid|1302
NODE_1003_length_9924_cov_3.582531	1489	2595	+	K04517	96	5.32842788670913	13.2556458897922	1.07320380670195	0.118033258717134	1302	cid|1302
NODE_1003_length_9924_cov_3.582531	3067	3981	+	K00016	63	4.23053152603576	9.91256830601093	0.802541507871463	0.0882652380081787	1302	cid|1302
NODE_1003_length_9924_cov_3.582531	4120	5403	+	K00800	69	3.30186678406107	8.30218068535826	0.672161280523882	0.0739257406918132	1302	cid|1302
NODE_1003_length_9924_cov_3.582531	5396	5881	+	K00891	33	4.17208502935038	8.50205761316872	0.688343719431915	0.0757055200649184	1302	cid|1302
NODE_1003_length_9924_cov_3.582531	5872	6699	+	K04518	58	4.30400866664209	10.1062801932367	0.818224812668721	0.0899901215401922	1302	cid|1302
NODE_1003_length_9924_cov_3.582531	8132	9502	+	K03215	198	8.87366881516097	16.6557257476295	1.34848112452254	0.148308849122582	1302	cid|1302
NODE_10044_length_795_cov_1.533784	124	675	-	K01598	12	1.33572682757858	3.52717391304348	1.05935143969383	0.0314072836948054	1305	cid|1305
